Title,Number of Ratings,Number of Oscars,Original Rating,New Rating,Oscar Rating,Penalized Rating
The Shawshank Redemption,2701835,0,9.2,9.2,9.2,9.2
The Godfather,1875730,3,9.2,8.9,9.7,8.4
The Dark Knight,2675630,2,9.0,9.3,9.3,9.0
The Godfather Part II,1281484,6,9.0,8.6,10.0,7.6
12 Angry Men,798104,0,9.0,7.1,9.0,7.1
Schindler's List,1365760,7,8.9,8.6,9.9,7.6
The Lord of the Rings: The Return of the King,1860439,11,8.9,9.6,10.4,8.1
Pulp Fiction,2074120,1,8.8,8.5,9.1,8.2
The Lord of the Rings: The Fellowship of the Ring,1889800,4,8.8,8.5,9.3,8.0
"The Good, the Bad and the Ugly",767405,0,8.8,6.9,8.8,6.9
Forrest Gump,2098912,6,8.8,9.2,9.8,8.2
Fight Club,2146751,0,8.7,8.2,8.7,8.2
The Lord of the Rings: The Two Towers,1679882,2,8.7,8.0,9.0,7.7
Inception,2373768,4,8.7,8.9,9.2,8.4
Star Wars: Episode V - The Empire Strikes Back,1302198,1,8.7,7.7,9.0,7.4
The Matrix,1928099,4,8.7,8.5,9.2,8.0
Goodfellas,1172021,1,8.7,7.5,9.0,7.2
One Flew Over the Cuckoo's Nest,1014720,5,8.6,7.5,9.1,7.0
Se7en,1668165,0,8.6,7.6,8.6,7.6
Seven Samurai,348656,0,8.6,6.3,8.6,6.3
